4046,4225,4770,AveragePrice,Date,Large Bags,Small Bags,Total Bags,Total Volume,Unnamed: 0,XLarge Bags,region,type,year
539.65,68666.01,394.9,1.33,8/16/2015,145.54,10297.68,10443.22,80043.78,19.0,0.0,Albany,Conventional,2015
584.63,100961.46,368.95,1.12,8/9/2015,109.55,9116.34,9225.89,111140.93,20.0,0.0,Albany,Conventional,2015
509.94,62035.06,741.08,1.45,8/2/2015,78.5,11768.52,11847.02,75133.1,21.0,0.0,Albany,Conventional,2015
648.75,91949.05,966.61,1.11,7/26/2015,131.16,13061.53,13192.69,106757.1,22.0,0.0,Albany,Conventional,2015
1042.1,82049.4,2238.02,1.26,7/19/2015,183.99,11103.49,11287.48,96617.0,23.0,0.0,Albany,Conventional,2015
672.25,94693.52,4257.64,1.05,7/12/2015,108.49,24290.08,24431.9,124055.31,24.0,33.33,Albany,Conventional,2015
869.45,72600.55,5883.16,1.35,7/5/2015,235.77,29663.19,29898.96,109252.12,25.0,0.0,Albany,Conventional,2015
664.23,57545.79,4662.71,1.37,6/28/2015,350.32,26311.76,26662.08,89534.81,26.0,0.0,Albany,Conventional,2015
804.01,76688.55,5481.18,1.27,6/21/2015,213.65,21662.0,21875.65,104849.39,27.0,0.0,Albany,Conventional,2015
850.58,55400.94,4377.19,1.32,6/14/2015,659.45,28343.14,29002.59,89631.3,28.0,0.0,Albany,Conventional,2015
656.71,99220.82,90.32,1.07,6/7/2015,460.22,22314.99,22775.21,122743.06,29.0,0.0,Albany,Conventional,2015
922.37,70469.69,50.55,1.23,5/31/2015,458.52,23222.49,23681.01,95123.62,30.0,0.0,Albany,Conventional,2015
680.27,71376.81,58.7,1.19,5/24/2015,593.32,28761.81,29355.13,101470.91,31.0,0.0,Albany,Conventional,2015
1150.55,81955.16,94.32,1.43,5/17/2015,372.01,26285.43,26657.44,109857.47,32.0,0.0,Albany,Conventional,2015
1420.43,102000.52,185.66,1.26,5/10/2015,285.75,16535.55,16821.3,120427.91,33.0,0.0,Albany,Conventional,2015
919.87,45490.05,217.24,1.2,5/3/2015,368.56,12201.95,12570.51,59197.67,34.0,0.0,Albany,Conventional,2015
875.65,35841.75,89.62,1.22,4/26/2015,701.61,12076.83,12778.44,49585.46,35.0,0.0,Albany,Conventional,2015
774.15,33941.51,47.15,1.19,4/19/2015,698.95,13602.97,14301.92,49064.73,36.0,0.0,Albany,Conventional,2015
864.27,30374.15,21.5,1.13,4/12/2015,665.88,16438.49,17104.37,48364.29,37.0,0.0,Albany,Conventional,2015
961.77,35577.66,93.76,1.16,4/5/2015,755.61,9869.16,10728.94,47362.13,38.0,104.17,Albany,Conventional,2015
1402.28,58623.22,89.5,1.02,3/29/2015,475.59,7208.49,7684.08,67799.08,39.0,0.0,Albany,Conventional,2015
2141.83,34313.56,141.8,1.12,3/22/2015,497.06,9252.6,9749.66,46346.85,40.0,0.0,Albany,Conventional,2015
2128.26,30447.17,99.67,1.11,3/15/2015,381.1,9989.59,10370.69,43045.79,41.0,0.0,Albany,Conventional,2015
795.68,30370.64,159.05,1.07,3/8/2015,354.44,8827.55,9181.99,40507.36,42.0,0.0,Albany,Conventional,2015
629.46,45633.34,181.49,0.99,3/1/2015,165.39,8986.06,9151.45,55595.74,43.0,0.0,Albany,Conventional,2015
1088.38,35056.13,151.0,1.07,2/22/2015,379.38,9000.16,9379.54,45675.05,44.0,0.0,Albany,Conventional,2015
986.66,30045.51,222.42,1.06,2/15/2015,333.16,9979.87,10313.03,41567.62,45.0,0.0,Albany,Conventional,2015
1357.37,39111.81,163.25,0.99,2/8/2015,508.44,10113.1,10621.54,51253.97,46.0,0.0,Albany,Conventional,2015
1353.9,60017.2,179.32,0.99,2/1/2015,152.36,9170.82,9323.18,70873.6,47.0,0.0,Albany,Conventional,2015
941.38,33196.16,164.14,1.06,1/25/2015,742.47,10103.35,10845.82,45147.5,48.0,0.0,Albany,Conventional,2015
914.14,31540.32,135.77,1.17,1/18/2015,269.96,11651.09,11921.05,44511.28,49.0,0.0,Albany,Conventional,2015
1002.85,31640.34,127.12,1.24,1/11/2015,388.73,8036.04,8424.77,41195.08,50.0,0.0,Albany,Conventional,2015
2819.5,28287.42,49.9,1.22,1/4/2015,529.53,9186.93,9716.46,40873.28,51.0,0.0,Albany,Conventional,2015
292097.36,27350.92,297.9,0.99,12/27/2015,17748.36,48605.95,66354.31,386100.49,0.0,0.0,Atlanta,Conventional,2015
251774.15,20702.45,103.06,1.08,12/20/2015,11867.61,46930.26,58797.87,331377.53,1.0,0.0,Atlanta,Conventional,2015
324932.28,31019.08,275.8,0.96,12/13/2015,22628.21,38903.57,61545.31,417772.47,2.0,13.53,Atlanta,Conventional,2015
283024.01,23740.85,181.92,1.07,12/6/2015,13654.66,37032.67,50690.04,357636.82,3.0,2.71,Atlanta,Conventional,2015
250288.65,28889.63,307.83,0.99,11/29/2015,20738.55,33031.72,53794.68,333280.79,4.0,24.41,Atlanta,Conventional,2015
269799.03,29732.3,501.16,1.0,11/22/2015,19389.78,36992.3,56382.08,356414.57,5.0,0.0,Atlanta,Conventional,2015
263915.78,28442.45,455.97,1.13,11/15/2015,13390.06,33656.42,47046.48,339860.68,6.0,0.0,Atlanta,Conventional,2015
250441.38,34483.33,488.24,1.12,11/8/2015,12941.12,35662.93,48628.65,334041.6,7.0,24.6,Atlanta,Conventional,2015
290457.5,62980.07,252.79,0.99,11/1/2015,25929.39,39460.77,65398.38,419088.74,8.0,8.22,Atlanta,Conventional,2015
236814.29,64607.97,304.36,1.09,10/25/2015,24924.58,31826.88,56751.46,358478.08,9.0,0.0,Atlanta,Conventional,2015
228710.28,59731.79,291.22,1.09,10/18/2015,23454.84,36884.35,60339.19,349072.48,10.0,0.0,Atlanta,Conventional,2015
255933.32,91047.32,599.71,0.95,10/11/2015,45134.15,41159.96,86294.11,433874.46,11.0,0.0,Atlanta,Conventional,2015
265797.09,92780.33,644.43,0.96,10/4/2015,44584.77,14875.64,59460.41,418682.26,12.0,0.0,Atlanta,Conventional,2015
262107.44,61870.63,680.8,1.07,9/27/2015,25125.65,20533.87,45662.3,370321.17,13.0,2.78,Atlanta,Conventional,2015
346118.51,82762.72,1349.41,0.93,9/20/2015,52442.25,33698.43,86201.96,516432.6,14.0,61.28,Atlanta,Conventional,2015
278048.26,62485.97,714.93,1.07,9/13/2015,29678.76,46290.32,75983.02,417232.18,15.0,13.94,Atlanta,Conventional,2015
303113.24,73675.85,911.25,0.97,9/6/2015,44549.67,49833.55,94436.19,472136.53,16.0,52.97,Atlanta,Conventional,2015
275818.27,44839.12,1034.09,1.15,8/30/2015,14112.5,47138.07,61281.24,382972.72,17.0,30.67,Atlanta,Conventional,2015
274462.42,46223.69,950.09,1.12,8/23/2015,11883.98,45534.11,57418.09,379054.29,18.0,0.0,Atlanta,Conventional,2015
362579.51,41992.44,1424.96,1.09,8/16/2015,14148.65,45068.25,59216.9,465213.81,19.0,0.0,Atlanta,Conventional,2015
385027.71,47040.07,4251.74,1.01,8/9/2015,21568.48,45820.45,67472.2,503791.72,20.0,83.27,Atlanta,Conventional,2015
306587.86,41906.78,3515.48,1.15,8/2/2015,11720.3,42126.47,53888.32,405898.44,21.0,41.55,Atlanta,Conventional,2015
335372.02,44087.07,708.0,1.08,7/26/2015,12096.44,45114.22,57210.66,437377.75,22.0,0.0,Atlanta,Conventional,2015
446100.17,47838.42,1982.03,0.97,7/19/2015,16192.5,45099.87,61292.37,557212.99,23.0,0.0,Atlanta,Conventional,2015
310080.33,37953.24,867.46,1.14,7/12/2015,12280.26,46023.59,58303.85,407204.88,24.0,0.0,Atlanta,Conventional,2015
436377.91,54675.38,848.55,1.01,7/5/2015,19851.0,50684.74,70560.49,562462.33,25.0,24.75,Atlanta,Conventional,2015
331353.43,37698.53,816.56,1.13,6/28/2015,13108.03,52099.76,65342.19,435210.71,26.0,134.4,Atlanta,Conventional,2015
449311.47,30231.78,678.4,0.99,6/21/2015,19010.81,55484.76,74542.11,554763.76,27.0,46.54,Atlanta,Conventional,2015
386370.5,17701.12,471.72,1.1,6/14/2015,12578.28,48612.13,61261.44,465804.78,28.0,71.03,Atlanta,Conventional,2015
455565.92,22414.17,738.68,0.99,6/7/2015,21329.99,50954.84,72290.28,551009.05,29.0,5.45,Atlanta,Conventional,2015
382900.99,19543.18,522.81,1.1,5/31/2015,11199.95,40505.16,51735.02,454702.0,30.0,29.91,Atlanta,Conventional,2015
538126.94,27284.43,1260.8,0.96,5/24/2015,22651.15,33867.0,56539.87,623212.04,31.0,21.72,Atlanta,Conventional,2015
386400.89,18618.84,838.68,1.11,5/17/2015,11682.09,33710.2,45392.29,451250.7,32.0,0.0,Atlanta,Conventional,2015
413452.96,18860.63,1089.33,1.1,5/10/2015,12559.82,34108.44,46668.26,480071.18,33.0,0.0,Atlanta,Conventional,2015
538403.48,28568.26,1059.73,1.0,5/3/2015,33660.81,32520.82,66181.63,634213.1,34.0,0.0,Atlanta,Conventional,2015
387676.81,18366.33,1041.78,1.12,4/26/2015,10196.55,31315.29,41511.84,448596.76,35.0,0.0,Atlanta,Conventional,2015
368709.65,18040.85,873.24,1.12,4/19/2015,13680.88,29661.72,43342.6,430966.34,36.0,0.0,Atlanta,Conventional,2015
377578.48,22419.95,219.14,0.99,4/12/2015,25051.25,25833.07,50884.32,451101.89,37.0,0.0,Atlanta,Conventional,2015
318473.47,19254.39,374.51,1.04,4/5/2015,16289.92,28612.48,45037.12,383139.49,38.0,134.72,Atlanta,Conventional,2015
305028.89,16651.99,261.01,1.11,3/29/2015,14466.33,29313.92,43780.25,365722.14,39.0,0.0,Atlanta,Conventional,2015
393591.03,23419.6,304.89,1.0,3/22/2015,21766.54,40495.12,62275.1,479590.62,40.0,13.44,Atlanta,Conventional,2015
336172.08,16508.21,310.7,1.12,3/15/2015,11625.94,34911.7,46575.23,399566.22,41.0,37.59,Atlanta,Conventional,2015
361559.22,15788.71,236.97,1.1,3/8/2015,9394.09,33847.33,43241.42,420826.32,42.0,0.0,Atlanta,Conventional,2015
441544.0,21183.7,347.78,0.99,3/1/2015,17273.38,32180.9,49456.96,512532.44,43.0,2.68,Atlanta,Conventional,2015
369316.29,18324.76,237.47,1.1,2/22/2015,10006.3,33423.74,43430.04,431308.56,44.0,0.0,Atlanta,Conventional,2015
364446.77,17420.41,638.18,1.06,2/15/2015,18158.26,26727.66,44885.92,427391.28,45.0,0.0,Atlanta,Conventional,2015
377256.38,17162.5,524.85,1.03,2/8/2015,20895.77,18044.41,38940.18,433883.91,46.0,0.0,Atlanta,Conventional,2015
553198.56,31583.38,294.94,0.96,2/1/2015,41140.76,10553.73,51694.49,636771.37,47.0,0.0,Atlanta,Conventional,2015
393408.17,18718.27,594.25,1.1,1/25/2015,23435.77,13176.39,36612.16,449332.85,48.0,0.0,Atlanta,Conventional,2015
372236.92,18701.9,511.69,1.11,1/18/2015,23257.77,16782.71,40040.48,431490.99,49.0,0.0,Atlanta,Conventional,2015
330411.24,18958.22,1135.18,1.11,1/11/2015,25728.47,21309.61,47038.08,397542.72,50.0,0.0,Atlanta,Conventional,2015
364302.39,23821.16,82.15,1.0,1/4/2015,30108.64,16707.15,46815.79,435021.49,51.0,0.0,Atlanta,Conventional,2015
40450.49,394104.02,17353.79,1.17,12/27/2015,2367.22,142543.88,144911.1,596819.4,0.0,0.0,Baltimore,Conventional,2015
44741.37,434590.82,19112.14,1.11,12/20/2015,2486.16,141751.91,144238.07,642682.4,1.0,0.0,Baltimore,Conventional,2015
44400.26,399851.59,24291.2,1.15,12/13/2015,1895.88,149070.4,150966.28,619509.33,2.0,0.0,Baltimore,Conventional,2015
51129.29,453586.5,25760.49,1.04,12/6/2015,1552.2,117112.77,118664.97,649141.25,3.0,0.0,Baltimore,Conventional,2015
41028.15,379156.09,20147.53,1.16,11/29/2015,1852.33,103615.95,105468.28,545800.05,4.0,0.0,Baltimore,Conventional,2015
40867.8,386137.78,23343.49,1.12,11/22/2015,2663.12,119007.61,121670.73,572019.8,5.0,0.0,Baltimore,Conventional,2015
47109.75,503470.08,37990.29,1.04,11/15/2015,4462.69,125297.67,129760.36,718330.48,6.0,0.0,Baltimore,Conventional,2015
58579.27,576512.71,51035.04,1.05,11/8/2015,6062.58,138777.63,144840.21,830967.23,7.0,0.0,Baltimore,Conventional,2015
51860.07,473819.14,58615.76,1.12,11/1/2015,5209.3,152716.4,157925.7,742220.67,8.0,0.0,Baltimore,Conventional,2015
53766.25,397911.35,49085.74,1.19,10/25/2015,6141.14,149987.55,156128.69,656892.03,9.0,0.0,Baltimore,Conventional,2015
59121.55,745385.26,49171.33,0.99,10/18/2015,5504.62,146421.02,151925.64,1005603.78,10.0,0.0,Baltimore,Conventional,2015
34707.02,392008.6,58490.1,1.24,10/11/2015,4685.41,163669.01,168354.42,653560.14,11.0,0.0,Baltimore,Conventional,2015
35342.34,407609.95,42257.73,1.28,10/4/2015,4739.41,167494.61,172234.02,657444.04,12.0,0.0,Baltimore,Conventional,2015
34309.05,451061.03,59018.61,1.19,9/27/2015,5100.31,146792.81,151893.12,696281.81,13.0,0.0,Baltimore,Conventional,2015
39619.87,450283.01,45336.12,1.17,9/20/2015,5139.84,168889.78,174029.62,709268.62,14.0,0.0,Baltimore,Conventional,2015
55699.25,675524.33,42270.47,1.09,9/13/2015,5813.54,145686.02,151499.56,924993.61,15.0,0.0,Baltimore,Conventional,2015
63903.73,522568.44,68180.35,1.18,9/6/2015,3268.72,165696.58,168970.84,823623.36,16.0,5.54,Baltimore,Conventional,2015
48455.25,458207.46,42754.34,1.24,8/30/2015,3158.9,181968.79,185304.24,734721.29,17.0,176.55,Baltimore,Conventional,2015
59242.02,499100.39,47216.18,1.16,8/23/2015,3060.44,175047.15,178376.77,783935.36,18.0,269.18,Baltimore,Conventional,2015
86492.03,597184.73,43102.61,1.14,8/16/2015,2796.82,153156.63,155975.35,882754.72,19.0,21.9,Baltimore,Conventional,2015
56362.75,557363.94,42933.87,1.16,8/9/2015,3298.08,161564.81,164862.89,821523.45,20.0,0.0,Baltimore,Conventional,2015
53957.63,535167.1,44749.58,1.17,8/2/2015,3061.24,163667.68,166728.92,800603.23,21.0,0.0,Baltimore,Conventional,2015
52746.41,496508.65,45010.81,1.2,7/26/2015,3880.04,174774.8,178660.25,772926.12,22.0,5.41,Baltimore,Conventional,2015
52954.94,496206.47,50319.84,1.18,7/19/2015,3862.02,196837.6,200713.09,800194.34,23.0,13.47,Baltimore,Conventional,2015
58827.99,547537.41,50679.01,1.1,7/12/2015,4406.05,189236.32,193887.17,850931.58,24.0,244.8,Baltimore,Conventional,2015
66504.67,567640.7,56044.51,1.16,7/5/2015,5890.57,200097.99,206108.89,896298.77,25.0,120.33,Baltimore,Conventional,2015
65051.95,534535.21,51109.85,1.15,6/28/2015,4022.51,207378.09,211564.63,862261.64,26.0,164.03,Baltimore,Conventional,2015
58398.76,527866.5,51952.74,1.16,6/21/2015,3488.37,220904.35,224622.73,862840.73,27.0,230.01,Baltimore,Conventional,2015
64005.15,593499.63,48344.86,1.09,6/14/2015,3668.3,244982.26,249197.18,955046.82,28.0,546.62,Baltimore,Conventional,2015
62585.45,462951.05,43720.95,1.26,6/7/2015,3626.41,221165.85,225052.84,794310.29,29.0,260.58,Baltimore,Conventional,2015
67744.84,617813.87,45832.8,1.19,5/31/2015,5730.22,211787.29,217785.55,949177.06,30.0,268.04,Baltimore,Conventional,2015
63610.12,560740.03,49808.51,1.18,5/24/2015,5548.94,228842.95,234503.17,908661.83,31.0,111.28,Baltimore,Conventional,2015
63515.06,455166.65,44840.98,1.27,5/17/2015,5152.19,222163.1,227331.17,790853.86,32.0,15.88,Baltimore,Conventional,2015
79192.07,507104.15,44390.54,1.26,5/10/2015,8947.03,215572.03,224519.06,855205.82,33.0,0.0,Baltimore,Conventional,2015
73038.46,536709.99,77537.43,1.17,5/3/2015,7767.45,201874.28,209686.17,896972.05,34.0,44.44,Baltimore,Conventional,2015
58013.85,431532.87,39942.57,1.29,4/26/2015,6184.29,212064.73,218351.8,747841.09,35.0,102.78,Baltimore,Conventional,2015
67486.78,427623.27,42125.28,1.28,4/19/2015,5741.41,219885.88,225627.29,762862.62,36.0,0.0,Baltimore,Conventional,2015
70796.72,523170.13,42270.76,1.15,4/12/2015,5315.67,196076.34,201392.01,837629.62,37.0,0.0,Baltimore,Conventional,2015
53579.17,401279.47,41867.08,1.29,4/5/2015,6357.06,184109.06,191339.73,688065.45,38.0,873.61,Baltimore,Conventional,2015
58098.15,398050.87,43759.68,1.25,3/29/2015,4804.54,158964.08,163768.62,663677.32,39.0,0.0,Baltimore,Conventional,2015
65158.96,524971.24,42381.39,1.1,3/22/2015,4685.67,171699.95,176385.62,808897.21,40.0,0.0,Baltimore,Conventional,2015
53400.14,395837.01,46596.22,1.24,3/15/2015,4733.86,193130.9,197864.76,693698.13,41.0,0.0,Baltimore,Conventional,2015
55284.8,367670.93,42267.91,1.26,3/8/2015,4147.77,188374.49,192522.26,657745.9,42.0,0.0,Baltimore,Conventional,2015
59039.85,498872.67,40241.65,1.16,3/1/2015,3736.87,168224.2,171961.07,770115.24,43.0,0.0,Baltimore,Conventional,2015
50501.07,445970.56,62611.61,1.11,2/22/2015,3785.58,186976.97,190762.55,749845.79,44.0,0.0,Baltimore,Conventional,2015
49751.74,361677.37,45900.05,1.25,2/15/2015,5125.31,174864.87,179990.18,637319.34,45.0,0.0,Baltimore,Conventional,2015
71703.52,554857.41,37437.32,1.09,2/8/2015,5161.57,175771.39,180932.96,844931.21,46.0,0.0,Baltimore,Conventional,2015
93166.54,666010.38,83652.48,1.06,2/1/2015,4672.49,159916.87,164589.36,1007418.76,47.0,0.0,Baltimore,Conventional,2015
49696.14,386398.73,39488.95,1.2,1/25/2015,7588.83,209761.81,217350.64,692934.46,48.0,0.0,Baltimore,Conventional,2015
49947.16,393359.6,40576.08,1.23,1/18/2015,4467.62,169390.88,173858.5,657741.34,49.0,0.0,Baltimore,Conventional,2015
51460.64,420837.82,42526.96,1.17,1/11/2015,4075.65,151330.87,155406.52,670231.94,50.0,0.0,Baltimore,Conventional,2015
53987.31,552906.04,39995.03,1.08,1/4/2015,3990.61,137146.07,141136.68,788025.06,51.0,0.0,Baltimore,Conventional,2015
30482.25,2971.94,5894.4,0.97,12/27/2015,5.69,23520.19,23561.1,62909.69,0.0,35.22,Boise,Conventional,2015
25628.22,2546.09,7393.84,1.03,12/20/2015,11.43,21900.35,21935.9,57504.05,1.0,24.12,Boise,Conventional,2015
27148.61,2985.73,6458.44,0.99,12/13/2015,4.44,21842.87,21868.27,58461.05,2.0,20.96,Boise,Conventional,2015
35590.98,12526.5,4086.26,0.71,12/6/2015,0.0,42734.53,43091.6,95295.34,3.0,357.07,Boise,Conventional,2015
24189.98,2789.67,6031.49,1.06,11/29/2015,0.0,15860.63,16057.99,49069.13,4.0,197.36,Boise,Conventional,2015
25408.86,3255.97,6662.8,1.09,11/22/2015,4.32,17530.67,17547.95,52875.58,5.0,12.96,Boise,Conventional,2015
24424.72,12085.72,6502.37,1.01,11/15/2015,8.65,25200.25,25635.41,68648.22,6.0,426.51,Boise,Conventional,2015
31910.27,4651.88,6285.73,1.11,11/8/2015,119.79,12777.83,12999.91,55847.79,7.0,102.29,Boise,Conventional,2015
30434.99,4359.52,6428.27,1.14,11/1/2015,0.0,12331.82,12362.73,53585.51,8.0,30.91,Boise,Conventional,2015
29521.58,10089.82,6551.57,1.11,10/25/2015,0.0,13660.98,13711.48,59874.45,9.0,50.5,Boise,Conventional,2015
29614.23,9069.38,6586.27,1.16,10/18/2015,0.0,8918.0,8921.26,54191.14,10.0,3.26,Boise,Conventional,2015
26114.19,33415.88,7604.48,0.94,10/11/2015,185.46,13543.47,13769.64,80904.19,11.0,40.71,Boise,Conventional,2015
35154.43,10821.85,7551.63,1.12,10/4/2015,504.65,5462.15,5968.42,59496.33,12.0,1.62,Boise,Conventional,2015
47007.35,5754.04,3663.3,0.99,9/27/2015,160.0,7596.64,7763.11,64187.8,13.0,6.47,Boise,Conventional,2015
34826.9,21592.13,6640.07,1.03,9/20/2015,273.41,10601.02,10893.8,73952.9,14.0,19.37,Boise,Conventional,2015
45738.83,4393.9,6593.46,1.08,9/13/2015,0.0,7482.65,7482.65,64208.84,15.0,0.0,Boise,Conventional,2015
44134.65,5402.17,7991.75,1.16,9/6/2015,0.0,6934.43,6936.04,64464.61,16.0,1.61,Boise,Conventional,2015
40926.77,5809.92,7922.58,1.19,8/30/2015,0.0,5440.56,5440.56,60099.83,17.0,0.0,Boise,Conventional,2015
44059.22,14861.33,4433.12,1.05,8/23/2015,0.0,7420.09,7420.09,70773.76,18.0,0.0,Boise,Conventional,2015
46189.28,5258.21,6457.21,1.12,8/16/2015,0.0,6090.51,6096.91,64001.61,19.0,6.4,Boise,Conventional,2015
44739.54,5034.0,3931.19,1.1,8/9/2015,13.33,7568.92,7582.25,61286.98,20.0,0.0,Boise,Conventional,2015
51151.27,5140.89,5435.36,1.07,8/2/2015,48.89,5987.5,6036.39,67763.91,21.0,0.0,Boise,Conventional,2015
50978.38,4856.27,5479.57,1.07,7/26/2015,153.81,6358.04,6511.85,67826.07,22.0,0.0,Boise,Conventional,2015
45921.6,5300.3,5565.17,1.09,7/19/2015,816.52,6354.45,7170.97,63958.04,23.0,0.0,Boise,Conventional,2015
51828.75,5802.65,7474.4,1.05,7/12/2015,1236.88,8335.04,9571.92,74677.72,24.0,0.0,Boise,Conventional,2015
61949.73,8022.13,8434.98,1.15,7/5/2015,80.55,6557.06,6637.61,85044.45,25.0,0.0,Boise,Conventional,2015
59111.33,6573.26,3974.75,1.04,6/28/2015,0.0,5619.44,5621.07,75280.41,26.0,1.63,Boise,Conventional,2015
52790.21,15444.74,5875.85,1.06,6/21/2015,0.0,7021.56,7286.27,81397.07,27.0,264.71,Boise,Conventional,2015
58791.25,17880.43,3135.99,0.99,6/14/2015,0.0,7800.04,7800.04,87607.71,28.0,0.0,Boise,Conventional,2015
61245.49,7237.55,6655.69,1.12,6/7/2015,8.76,5603.8,5612.56,80751.29,29.0,0.0,Boise,Conventional,2015
57373.57,7421.36,4028.3,0.97,5/31/2015,5.84,7860.31,7866.15,76689.38,30.0,0.0,Boise,Conventional,2015
54825.95,14839.33,6037.23,1.03,5/24/2015,0.0,7469.51,7507.26,83209.77,31.0,37.75,Boise,Conventional,2015
61319.66,7393.99,2919.87,0.96,5/17/2015,0.0,6345.82,6354.01,77987.53,32.0,8.19,Boise,Conventional,2015
62505.3,15896.54,7891.16,1.06,5/10/2015,0.0,9453.06,9495.53,95788.53,33.0,42.47,Boise,Conventional,2015
66880.12,7942.34,4289.72,1.0,5/3/2015,0.0,6349.93,6354.81,85466.99,34.0,4.88,Boise,Conventional,2015
69544.59,7985.48,3401.65,0.96,4/26/2015,0.0,7174.6,7179.45,88111.17,35.0,4.85,Boise,Conventional,2015
56843.62,21630.9,3260.22,0.99,4/19/2015,0.0,7953.8,7960.22,89694.96,36.0,6.42,Boise,Conventional,2015
44469.15,8506.36,7523.01,1.19,4/12/2015,0.0,5747.78,5747.78,66246.3,37.0,0.0,Boise,Conventional,2015
57339.81,9060.49,3790.38,1.09,4/5/2015,0.0,6510.61,6513.78,76704.46,38.0,3.17,Boise,Conventional,2015
59532.94,7119.52,3101.98,0.98,3/29/2015,0.0,4789.54,4789.54,74543.98,39.0,0.0,Boise,Conventional,2015
44227.33,6589.77,7290.24,1.17,3/22/2015,0.0,3311.77,3311.77,61419.11,40.0,0.0,Boise,Conventional,2015
51472.29,7018.29,2981.8,1.0,3/15/2015,0.0,4445.9,4445.9,65918.28,41.0,0.0,Boise,Conventional,2015
45879.84,7206.22,7403.75,1.14,3/8/2015,0.0,4860.43,4860.43,65350.24,42.0,0.0,Boise,Conventional,2015
40578.0,23738.56,3491.83,1.06,3/1/2015,759.23,6478.75,7237.98,75046.37,43.0,0.0,Boise,Conventional,2015
50872.0,16374.74,2122.09,0.99,2/22/2015,232.07,7235.2,7467.27,76836.1,44.0,0.0,Boise,Conventional,2015
41547.87,7840.31,6492.94,1.14,2/15/2015,1693.34,3647.52,5340.86,61221.98,45.0,0.0,Boise,Conventional,2015
54229.34,9647.24,3047.0,1.07,2/8/2015,1673.75,1373.42,3047.17,69970.75,46.0,0.0,Boise,Conventional,2015
67496.3,36532.33,2904.77,0.91,2/1/2015,1777.58,4867.26,6644.84,113578.24,47.0,0.0,Boise,Conventional,2015
51922.06,7555.95,2061.16,1.03,1/25/2015,2520.51,2009.53,4530.04,66069.21,48.0,0.0,Boise,Conventional,2015
50354.95,6342.37,2257.23,1.08,1/18/2015,2796.76,1119.18,3915.94,62870.49,49.0,0.0,Boise,Conventional,2015
38112.34,10997.54,3321.89,1.18,1/11/2015,1628.64,3295.11,4923.75,57355.52,50.0,0.0,Boise,Conventional,2015
44562.12,24964.23,2752.35,1.01,1/4/2015,1691.32,6064.3,7755.62,80034.32,51.0,0.0,Boise,Conventional,2015
3886.27,346964.7,13952.56,1.13,12/27/2015,99.26,85913.6,86012.86,450816.39,0.0,0.0,Boston,Conventional,2015
4912.37,390100.99,5887.72,1.07,12/20/2015,133.33,88768.47,88901.8,489802.88,1.0,0.0,Boston,Conventional,2015
